Date, Open, High, Low, Close
06/28/21, 222.9900, 222.9900, 221.8601, 222.8000
06/25/21, 222.2600, 222.7000, 221.9100, 222.5500
06/24/21, 221.5100, 221.8700, 221.2900, 221.7200
06/23/21, 221.1000, 221.5900, 220.8101, 220.9000
06/22/21, 219.8500, 221.3500, 219.1800, 220.9900
06/21/21, 217.6700, 219.7950, 217.0800, 219.7400
06/18/21, 217.9900, 218.1500, 216.5300, 216.7500
06/17/21, 219.4400, 220.0591, 217.9500, 219.4700
06/16/21, 220.9700, 220.9700, 218.3809, 219.6800
06/15/21, 221.4900, 221.5300, 220.1695, 220.7800
06/14/21, 221.2000, 221.3900, 220.3800, 221.3600
06/11/21, 220.7800, 221.0200, 220.1250, 221.0200
06/10/21, 220.2100, 220.9000, 219.1900, 220.3700
06/09/21, 220.4100, 220.5000, 219.3500, 219.4000
06/08/21, 220.0300, 220.2757, 218.6600, 220.0200
06/07/21, 219.5500, 219.6800, 219.0300, 219.5700
06/04/21, 218.5700, 219.4791, 218.4600, 219.3900
06/03/21, 217.3000, 218.0500, 216.0800, 217.5000
06/02/21, 218.6200, 218.8200, 217.8900, 218.4700
06/01/21, 219.5300, 219.5300, 217.8100, 218.1800
05/28/21, 218.6000, 218.7300, 218.0250, 218.0900
05/27/21, 218.0000, 218.2400, 217.5900, 217.7200
05/26/21, 216.9800, 217.5550, 216.4820, 217.3200
05/25/21, 217.8400, 218.0200, 216.2000, 216.5400
05/24/21, 216.2400, 217.7000, 215.9200, 217.1400
05/21/21, 216.0800, 216.7380, 214.7100, 214.9700
05/20/21, 213.2100, 215.6550, 213.1800, 215.0900
05/19/21, 210.5700, 212.7800, 209.7500, 212.7800
05/18/21, 215.2500, 215.6300, 213.3400, 213.4000
05/17/21, 214.9000, 215.3794, 213.7400, 215.0800
05/14/21, 213.5500, 215.9600, 213.5000, 215.5400
05/13/21, 210.3800, 212.9200, 210.3300, 211.9200
05/12/21, 212.9400, 213.6300, 209.2100, 209.6100
05/11/21, 213.2900, 214.9100, 212.0200, 214.4400
05/10/21, 218.8900, 218.8999, 216.0500, 216.1800
05/07/21, 217.4000, 218.9900, 217.1000, 218.7500
05/06/21, 215.7800, 216.9500, 214.0800, 216.9100
05/05/21, 216.9400, 216.9500, 215.2800, 215.8100
05/04/21, 216.4800, 216.5400, 213.8100, 215.8500
05/03/21, 218.5700, 218.5700, 217.3000, 217.4800
04/30/21, 217.5100, 218.1700, 216.7500, 217.1000
04/29/21, 219.6000, 219.6500, 216.9400, 218.7000
04/28/21, 218.0700, 218.6400, 217.6210, 217.8700
04/27/21, 218.3000, 218.3250, 217.3500, 217.9000
04/26/21, 217.7400, 218.2700, 217.4500, 218.0000
04/23/21, 215.0800, 217.8650, 214.9650, 217.2100
04/22/21, 216.4500, 217.0400, 213.8801, 214.6100
04/21/21, 213.6500, 216.3250, 213.2529, 216.3000
04/20/21, 215.2200, 215.5400, 212.9200, 213.7500
04/19/21, 216.7300, 216.9100, 215.0000, 215.7300
04/16/21, 217.4600, 217.4730, 216.3200, 217.1500
04/15/21, 215.7300, 216.6700, 215.4600, 216.6000
04/14/21, 215.0600, 215.8700, 214.0350, 214.3200
04/13/21, 214.3600, 215.2800, 214.0000, 214.8000
04/12/21, 214.0600, 214.3650, 213.3306, 214.2000
04/09/21, 212.8500, 214.2500, 212.6200, 214.1400
04/08/21, 212.5400, 212.8500, 211.7700, 212.8500
04/07/21, 211.7900, 212.1200, 211.0900, 211.6200
04/06/21, 211.6900, 212.4850, 211.4100, 211.8000
04/05/21, 210.8500, 211.9600, 210.5600, 211.7200
04/01/21, 207.9900, 209.3000, 207.5600, 209.2800
03/31/21, 206.0500, 207.6150, 206.0000, 206.6900
03/30/21, 205.1700, 205.8900, 204.2900, 205.4400
03/29/21, 205.5900, 206.3600, 204.2400, 205.5000
03/26/21, 204.1100, 206.6400, 203.2400, 206.4700
03/25/21, 200.9200, 203.6600, 199.5000, 203.1500
03/24/21, 205.1700, 205.8500, 202.3300, 202.3300
03/23/21, 206.1900, 206.4400, 203.6400, 204.0200
03/22/21, 205.8800, 207.2600, 205.3800, 206.3700
03/19/21, 205.1400, 206.1500, 203.5703, 205.2600
03/18/21, 207.4500, 208.4400, 204.7700, 205.0000
03/17/21, 207.3100, 209.2900, 206.3600, 208.8000
03/16/21, 209.1400, 209.3000, 207.3600, 208.0100
03/15/21, 207.7300, 208.9000, 206.3900, 208.8500
03/12/21, 206.1600, 207.4600, 205.5500, 207.4000
03/11/21, 206.0800, 207.8280, 205.7050, 206.9900
03/10/21, 204.5500, 205.2700, 203.6100, 204.3200
03/09/21, 202.2300, 204.3450, 201.7100, 202.8700
03/08/21, 201.4400, 202.8900, 199.5700, 199.7700
03/05/21, 199.3700, 201.2100, 194.1100, 200.7500
03/04/21, 200.0400, 201.2412, 194.5200, 197.1900
03/03/21, 203.2200, 203.5400, 200.1800, 200.3600
03/02/21, 205.5000, 205.5500, 203.1700, 203.2900
03/01/21, 203.1500, 205.8450, 203.0650, 205.2200
02/26/21, 201.9900, 202.6900, 198.5500, 200.0800
02/25/21, 205.7400, 206.3780, 200.0000, 200.8800
